,day_of_week,start_hour,start_station_id,start_station_longitude,start_station_latitude,ride_start_date
394,Wed,22,358,-74.00711384,40.73291553,2013-09-18
395,Mon,16,495,-73.99301222,40.76269882,2013-09-30
396,Tue,17,127,-74.00674436,40.73172428,2013-09-03
397,Fri,16,490,-73.993934,40.751551,2013-09-06
398,Sun,21,307,-73.98990025,40.71427487,2013-09-15
399,Sun,9,480,-73.99061728,40.76669671,2013-09-01
400,Sat,19,174,-73.97738662,40.7381765,2013-09-14
401,Mon,16,330,-74.00562789,40.71450451,2013-09-09
402,Fri,16,195,-74.01043382,40.70905623,2013-09-06
403,Sun,22,318,-73.9779874,40.75320159,2013-09-15
404,Sun,9,498,-73.98808416,40.74854862,2013-09-22
405,Sun,15,375,-73.99695094,40.72679454,2013-09-15
406,Fri,15,146,-74.0091059,40.71625008,2013-09-13
407,Thu,9,528,-73.97706058,40.74290902,2013-09-05
408,Mon,23,537,-73.98409214,40.74025878,2013-09-30
409,Thu,20,382,-73.99200509,40.73492695,2013-09-26
410,Sat,17,509,-74.00197139,40.7454973,2013-09-14
411,Mon,18,528,-73.97706058,40.74290902,2013-09-16
412,Sun,10,489,-74.00176802,40.75066386,2013-09-22
413,Tue,8,343,-73.96986848,40.69794,2013-09-24
414,Fri,12,297,-73.986923,40.734232,2013-09-06
415,Thu,15,510,-73.98042047,40.7606597,2013-09-26
416,Sun,13,492,-73.99093085,40.75019995,2013-09-29
417,Thu,9,327,-74.01658354,40.7153379,2013-09-19
418,Mon,20,470,-74.00004031,40.74345335,2013-09-16
419,Sat,13,2006,-73.97634151,40.76590936,2013-09-07
420,Thu,18,494,-73.99723551,40.74734825,2013-09-05
421,Sun,22,317,-73.98185424,40.72453734,2013-09-01
422,Sun,9,3002,-74.015756,40.711512,2013-09-29
423,Tue,15,537,-73.98409214,40.74025878,2013-09-10
424,Fri,16,236,-73.98713956,40.7284186,2013-09-06
425,Fri,16,453,-73.99915362,40.74475148,2013-09-13
426,Sun,14,382,-73.99200509,40.73492695,2013-09-15
427,Tue,10,173,-73.98442659,40.76064679,2013-09-17
428,Thu,14,294,-73.9957214,40.73049393,2013-09-26
429,Tue,12,327,-74.01658354,40.7153379,2013-09-03
430,Wed,11,317,-73.98185424,40.72453734,2013-09-18
431,Sat,22,308,-73.99851193,40.71307916,2013-09-21
432,Sat,2,251,-73.99480012,40.72317958,2013-09-21
433,Sat,11,531,-73.99266288,40.71893904,2013-09-21
434,Mon,7,153,-73.9816324,40.75206231,2013-09-30
435,Fri,17,168,-73.99456405,40.73971301,2013-09-13
436,Thu,15,341,-73.97628939,40.71782143,2013-09-26
437,Tue,7,503,-73.98751968,40.73827428,2013-09-24
438,Tue,18,311,-73.98802084,40.7172274,2013-09-17
439,Fri,9,164,-73.97032517,40.75323098,2013-09-27
440,Sun,17,387,-74.0046073,40.71273266,2013-09-15
